rq,game,mechanism,model,run,log_file,source_status,primary_cooperation_pct,receiver_cooperation_pct,n_agents,n_rounds,multiplier,final_group_payoff_per_round,final_payoff_per_agent_round,base_payoff_per_agent_round,mechanism_adjustment_per_agent_round,resource_adjusted_surplus_per_agent_round,normalized_net_welfare_pct,normalized_base_welfare_pct
RQ1,TG,none,Gemini-3.1-Pro-Preview,1,RQ1_result/result/trust_game/091601_gemini-3.1-pro-preview/data/game_log1.json,raw_logs,59.72222222222222,38.77919320594479,24.0,30.0,3.0,263.3333333333333,10.972222222222221,10.972222222222221,0.0,5.972222222222222,59.72222222222222,59.72222222222222
RQ1,TG,none,Gemini-3.1-Pro-Preview,2,RQ1_result/result/trust_game/091601_gemini-3.1-pro-preview/data/game_log2.json,raw_logs,60.0,41.60771704180065,24.0,30.0,3.0,264.0,11.0,11.0,0.0,6.0,60.0,60.0
RQ1,TG,none,Gemini-3.1-Pro-Preview,3,RQ1_result/result/trust_game/091601_gemini-3.1-pro-preview/data/game_log3.json,raw_logs,63.47222222222222,42.06543967280164,24.0,30.0,3.0,272.3333333333333,11.347222222222221,11.347222222222221,0.0,6.347222222222222,63.47222222222222,63.47222222222222
RQ1,TG,none,Claude-Opus-4-6,1,RQ1_result/result/trust_game/083102_claude-opus-4-6/data/game_log1.json,raw_logs,34.05555555555556,31.44131455399061,24.0,30.0,3.0,201.73333333333332,8.405555555555555,8.405555555555555,0.0,3.4055555555555554,34.05555555555556,34.05555555555556
RQ1,TG,none,Claude-Opus-4-6,2,RQ1_result/result/trust_game/083102_claude-opus-4-6/data/game_log2.json,raw_logs,33.111111111111114,32.41573033707865,24.0,30.0,3.0,199.46666666666667,8.311111111111112,8.311111111111112,0.0,3.311111111111111,33.111111111111114,33.111111111111114
RQ1,TG,none,Claude-Opus-4-6,3,RQ1_result/result/trust_game/083102_claude-opus-4-6/data/game_log3.json,raw_logs,29.694444444444446,31.914016489988224,24.0,30.0,3.0,191.26666666666668,7.969444444444445,7.969444444444445,0.0,2.9694444444444446,29.694444444444443,29.694444444444443
RQ1,TG,none,Kimi-K2.6,1,RQ1_result/result/trust_game/072201_kimi-k2.6/data/game_log1.json,raw_logs,24.47222222222222,22.052845528455283,24.0,30.0,3.0,178.73333333333332,7.447222222222222,7.447222222222222,0.0,2.4472222222222224,24.47222222222222,24.47222222222222
RQ1,TG,none,Kimi-K2.6,2,RQ1_result/result/trust_game/072201_kimi-k2.6/data/game_log2.json,raw_logs,23.166666666666668,20.887955182072826,24.0,30.0,3.0,175.6,7.316666666666666,7.316666666666666,0.0,2.316666666666667,23.166666666666668,23.166666666666668
RQ1,TG,none,Kimi-K2.6,3,RQ1_result/result/trust_game/072201_kimi-k2.6/data/game_log3.json,raw_logs,22.72222222222222,19.13286302175191,24.0,30.0,3.0,174.53333333333333,7.272222222222222,7.272222222222222,0.0,2.272222222222222,22.72222222222222,22.72222222222222
RQ1,TG,none,Grok-4.3,1,RQ1_result/result/trust_game/072601_grok-4.3/data/game_log1.json,raw_logs,6.388888888888888,0.0,24.0,30.0,3.0,135.33333333333334,5.638888888888889,5.638888888888889,0.0,0.6388888888888888,6.388888888888889,6.388888888888889
