game,outcome,mechanism,round,delta_pp,ci95_low_pp,ci95_high_pp,n_models,bootstrap_draws,method
TG,sender,reward,2,33.004999999999995,20.631027777777778,48.401111111111106,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reward,3,36.33833333333333,22.930999999999997,51.12519444444446,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reward,4,28.282777777777778,13.528416666666669,47.36681944444446,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reward,5,33.83833333333334,20.792736111111108,50.324999999999996,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reward,6,33.63,20.948277777777776,50.14406944444444,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reward,7,32.449444444444445,18.3595,49.86534722222221,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reward,8,32.31055555555556,19.856055555555553,49.32325,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reward,9,30.782777777777778,17.187055555555556,48.685319444444445,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reward,10,33.56055555555555,20.284236111111113,50.20713888888888,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reward,11,30.852222222222224,16.524152777777775,49.08979166666667,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reward,12,33.49111111111111,21.039430555555555,50.23779166666666,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reward,13,32.58833333333333,17.20586111111111,50.11981944444444,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reward,14,33.83833333333333,18.586111111111112,51.098749999999995,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reward,15,32.17166666666667,17.26801388888889,49.80940277777777,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reward,16,33.42166666666667,18.61702777777778,50.568236111111105,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reward,17,35.782777777777774,20.16633333333333,52.430708333333335,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reward,18,35.64388888888889,19.456541666666666,52.601166666666664,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reward,19,35.01888888888889,21.220930555555555,50.465416666666684,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reward,20,30.227222222222228,13.068444444444445,48.415736111111116,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reward,21,33.699444444444445,19.074430555555555,51.06477777777777,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reward,22,32.79666666666667,17.72776388888889,48.880513888888885,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reward,23,31.199444444444442,17.122083333333332,49.12193055555556,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reward,24,33.282777777777774,18.655277777777773,50.54666666666666,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reward,25,33.21333333333333,19.447041666666667,49.087041666666664,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reward,26,35.71333333333333,20.51911111111111,52.00519444444444,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reward,27,37.17166666666667,20.847666666666665,53.89311111111112,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reward,28,35.99111111111111,20.235805555555554,52.50579166666667,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reward,29,34.67166666666667,19.206750000000003,50.84644444444445,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reward,30,38.49111111111111,20.170694444444447,55.54722222222222,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,punishment,1,65.04203703703702,51.127337962962955,76.88420833333333,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,punishment,2,65.22722222222222,48.56115277777778,78.1661111111111,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,punishment,3,68.37537037037036,51.30996759259259,81.78539814814815,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,punishment,4,67.86611111111111,52.37914351851851,80.02937037037039,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,punishment,5,68.42166666666667,52.65208333333334,80.48254629629629,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,punishment,6,64.62537037037036,48.86918518518518,77.66168518518519,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,punishment,7,66.10685185185186,50.47852314814814,79.27484259259259,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,punishment,8,66.15314814814815,51.026037037037035,78.81073611111111,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,punishment,9,69.62537037037036,57.47936111111112,79.41774537037038,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,punishment,10,66.38462962962963,53.51687037037037,78.11774074074074,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,punishment,11,66.24574074074074,52.23706481481481,76.85606018518519,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,punishment,12,66.29203703703702,53.36161574074074,77.56456018518519,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,punishment,13,66.56981481481482,52.21041666666666,77.18335185185185,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,punishment,14,66.19944444444445,53.25300462962963,77.28287037037038,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,punishment,15,67.68092592592592,52.007550925925926,79.68217592592592,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,punishment,16,68.46796296296297,56.170203703703706,77.71316203703705,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
